"annotation_id","serial_number","start_time","annotation_type","annotation_text","created_by","created_at","updated_at","current_test_id"
1,"190825300373","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:51:42.770824-04","2025-08-18 13:51:59.751862-04",2683
2,"190825300440","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:52:24.571953-04","2025-08-18 13:52:24.571953-04",2694
3,"190825300599","2025-08-14 09:23:39.168-04","failure_cause","Channel Undervoltage BA","User","2025-08-18 13:53:02.066822-04","2025-08-18 13:53:02.066822-04",2709
4,"190825300705","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:12.417533-04","2025-08-18 13:53:12.417533-04",2717
5,"190825300707","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:20.427315-04","2025-08-18 13:53:20.427315-04",2719
6,"190825300735","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:33.02277-04","2025-08-18 13:53:33.02277-04",2725
7,"190825300743","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:41.241461-04","2025-08-18 13:53:41.241461-04",2728
8,"190825300132","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:45.673799-04","2025-08-18 13:53:45.673799-04",2734
9,"190825300398","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:53.077902-04","2025-08-18 13:53:53.077902-04",2736
10,"190825300101","2025-08-14 09:23:39.168-04","failure_cause","unknown","User","2025-08-18 13:54:17.490233-04","2025-08-18 13:54:17.490233-04",2655
11,"190825300075","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:54:29.445946-04","2025-08-18 13:54:29.445946-04",2653
12,"190825300003","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:54:35.748897-04","2025-08-18 13:54:35.748897-04",2650
13,"190825280167","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:54:43.637362-04","2025-08-18 13:54:43.637362-04",2649
14,"190825280143","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:54:48.434283-04","2025-08-18 13:54:48.434283-04",2647
15,"190825260071","2025-08-04 07:57:04.259-04","failure_cause","Channel Short AA","User","2025-08-18 13:55:55.076762-04","2025-08-18 13:55:55.076762-04",2330
16,"190825300690","2025-08-05 06:02:15.116-04","failure_cause","Setup - DC","User","2025-08-18 13:58:59.303011-04","2025-08-18 13:58:59.303011-04",2423
60,"190825300222","2025-07-31 05:37:35.2-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:20:05.197746-04","2025-08-18 14:20:05.197746-04",2127
20,"190825300683","2025-08-04 07:57:04.259-04","failure_cause","Setup - AC","User","2025-08-18 13:59:46.499794-04","2025-08-18 13:59:46.499794-04",2370
21,"190825300187","2025-08-04 07:57:04.259-04","failure_cause","Setup - AC","User","2025-08-18 13:59:53.994059-04","2025-08-18 13:59:53.994059-04",2348
22,"190825300077","2025-08-03 01:29:17.274-04","failure_cause","anti islanding","User","2025-08-18 14:00:33.155721-04","2025-08-18 14:00:33.155721-04",2248
23,"190825300682","2025-08-03 05:28:03.975-04","failure_cause","Channel Short AA","User","2025-08-18 14:02:57.593395-04","2025-08-18 14:02:57.593395-04",2318
24,"190825300433","2025-08-03 05:28:03.975-04","failure_cause","unknown","User","2025-08-18 14:05:40.230978-04","2025-08-18 14:05:40.230978-04",2314
25,"190825300429","2025-08-03 05:28:03.975-04","failure_cause","Setup - Mixed Connectors","User","2025-08-18 14:06:16.872365-04","2025-08-18 14:06:16.872365-04",2313
27,"190825300409","2025-08-03 05:28:03.975-04","failure_cause","Setup - DC","User","2025-08-18 14:07:41.578541-04","2025-08-18 14:07:41.578541-04",2312
28,"190825300108","2025-08-03 05:28:03.975-04","failure_cause","Setup - DC","User","2025-08-18 14:07:50.882529-04","2025-08-18 14:07:50.882529-04",2294
29,"190825300097","2025-08-03 05:28:03.975-04","failure_cause","Setup - DC","User","2025-08-18 14:08:00.958295-04","2025-08-18 14:08:00.958295-04",2293
30,"190825300095","2025-08-03 05:28:03.975-04","failure_cause","Setup - DC","User","2025-08-18 14:08:08.077572-04","2025-08-18 14:08:08.077572-04",2292
31,"190825300029","2025-08-03 05:28:03.975-04","failure_cause","Setup - DC","User","2025-08-18 14:08:13.388657-04","2025-08-18 14:08:13.388657-04",2288
32,"190825300756","2025-08-03 05:28:03.975-04","failure_cause","Setup - DC","User","2025-08-18 14:08:19.709345-04","2025-08-18 14:08:19.709345-04",2328
33,"190825300674","2025-08-02 03:06:44.891-04","failure_cause","Setup - DC","User","2025-08-18 14:08:52.456498-04","2025-08-18 14:08:52.456498-04",2231
34,"190825300676","2025-08-02 03:06:44.891-04","failure_cause","Setup - DC","User","2025-08-18 14:09:02.897677-04","2025-08-18 14:09:02.897677-04",2232
19,"190825300690","2025-08-02 03:06:44.891-04","failure_cause","Setup - DC","User","2025-08-18 13:59:07.746108-04","2025-08-18 14:09:49.275879-04",2233
36,"190825300316","2025-08-02 03:06:44.891-04","failure_cause","Setup - DC","User","2025-08-18 14:11:24.460035-04","2025-08-18 14:11:24.460035-04",2229
37,"190825300020","2025-08-02 03:06:44.891-04","failure_cause","Setup - DC","User","2025-08-18 14:11:52.799331-04","2025-08-18 14:11:52.799331-04",2218
38,"190825300669","2025-08-02 03:06:44.891-04","failure_cause","Setup - DC","User","2025-08-18 14:11:59.64478-04","2025-08-18 14:11:59.64478-04",2208
39,"190825300137","2025-08-02 03:06:44.891-04","failure_cause","Setup - DC","User","2025-08-18 14:12:05.078489-04","2025-08-18 14:12:05.078489-04",2198
40,"190825300133","2025-08-02 03:06:44.891-04","failure_cause","Setup - Mixed Connectors","User","2025-08-18 14:12:33.269173-04","2025-08-18 14:12:33.269173-04",2197
41,"190825300078","2025-08-02 03:06:44.891-04","failure_cause","Setup - DC","User","2025-08-18 14:12:41.841811-04","2025-08-18 14:12:41.841811-04",2193
42,"190825280145","2025-08-02 03:06:44.891-04","failure_cause","Setup - DC","User","2025-08-18 14:12:47.898224-04","2025-08-18 14:12:47.898224-04",2186
43,"190825280133","2025-07-31 02:43:36.285-04","failure_cause","Channel Short AA","User","2025-08-18 14:13:55.634458-04","2025-08-18 14:13:55.634458-04",2070
44,"190825280133","2025-08-01 06:29:24.669-04","failure_cause","Channel Short BA","User","2025-08-18 14:14:06.639537-04","2025-08-18 14:14:11.798215-04",2142
46,"190825300092","2025-07-31 02:43:36.285-04","failure_cause","Setup - AC","User","2025-08-18 14:14:56.305146-04","2025-08-18 14:14:56.305146-04",2084
47,"190825300072","2025-07-31 02:43:36.285-04","failure_cause","Setup - AC","User","2025-08-18 14:15:03.62845-04","2025-08-18 14:15:03.62845-04",2082
48,"190825300061","2025-07-31 02:43:36.285-04","failure_cause","Setup - AC","User","2025-08-18 14:15:08.918081-04","2025-08-18 14:15:08.918081-04",2079
49,"190825300117","2025-07-31 02:43:36.285-04","failure_cause","Setup - AC","User","2025-08-18 14:15:36.747214-04","2025-08-18 14:15:36.747214-04",2086
50,"190825280120","2025-07-31 02:43:36.285-04","failure_cause","Setup - AC","User","2025-08-18 14:15:46.392439-04","2025-08-18 14:15:46.392439-04",2066
51,"190825280048","2025-07-31 02:43:36.285-04","failure_cause","Setup - AC","User","2025-08-18 14:15:52.442589-04","2025-08-18 14:15:52.442589-04",2063
52,"190825280004","2025-07-31 02:43:36.285-04","failure_cause","Setup - AC","User","2025-08-18 14:16:03.477844-04","2025-08-18 14:16:03.477844-04",2061
53,"190825300009","2025-07-31 05:37:35.2-04","failure_cause","Channel Short AA","User","2025-08-18 14:16:10.636644-04","2025-08-18 14:16:10.636644-04",2097
54,"190825300080","2025-07-31 05:37:35.2-04","failure_cause","Setup - Mixed Connectors","User","2025-08-18 14:18:15.946315-04","2025-08-18 14:18:15.946315-04",2105
55,"190825300091","2025-07-31 05:37:35.2-04","failure_cause","Channel Short AA","User","2025-08-18 14:19:18.553692-04","2025-08-18 14:19:18.553692-04",2107
56,"190825300115","2025-07-31 05:37:35.2-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:19:30.185844-04","2025-08-18 14:19:30.185844-04",2111
57,"190825300146","2025-07-31 05:37:35.2-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:19:38.750421-04","2025-08-18 14:19:38.750421-04",2115
58,"190825300209","2025-07-31 05:37:35.2-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:19:46.312458-04","2025-08-18 14:19:46.312458-04",2124
61,"190825300251","2025-07-31 05:37:35.2-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:20:12.206167-04","2025-08-18 14:20:12.206167-04",2129
62,"190825300293","2025-07-31 05:37:35.2-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:20:19.283107-04","2025-08-18 14:20:19.283107-04",2132
63,"190825300395","2025-07-31 05:37:35.2-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:20:26.501399-04","2025-08-18 14:20:26.501399-04",2136
64,"190825280074","2025-07-29 00:18:43.749-04","failure_cause","unknown","User","2025-08-18 14:21:32.590886-04","2025-08-18 14:21:32.590886-04",1029
65,"190825260148","2025-07-29 00:26:32.924-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:21:49.847417-04","2025-08-18 14:21:49.847417-04",501
66,"190825260150","2025-07-29 00:26:32.924-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:21:58.137172-04","2025-08-18 14:21:58.137172-04",503
67,"190825260267","2025-07-29 00:26:32.924-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:22:03.6528-04","2025-08-18 14:22:03.6528-04",598
68,"190825260630","2025-07-29 00:26:32.924-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:22:10.730491-04","2025-08-18 14:22:10.730491-04",852
69,"190825260633","2025-07-29 00:26:32.924-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:22:15.319576-04","2025-08-18 14:22:15.319576-04",853
70,"190825260679","2025-07-29 00:26:32.924-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:22:21.078502-04","2025-08-18 14:22:21.078502-04",885
71,"190825260701","2025-07-29 00:26:32.924-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:22:26.654802-04","2025-08-18 14:22:26.654802-04",902
72,"190825280032","2025-07-29 00:26:32.924-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:22:31.484916-04","2025-08-18 14:22:31.484916-04",1000
73,"190825280061","2025-07-29 00:26:32.924-04","failure_cause","Channel Short BA","User","2025-08-18 14:23:25.962609-04","2025-08-18 14:23:25.962609-04",1020
74,"190825280070","2025-07-29 00:26:32.924-04","failure_cause","Setup - Mixed Connectors","User","2025-08-18 14:23:44.114575-04","2025-08-18 14:23:44.114575-04",1025
75,"190825260064","2025-07-29 00:26:32.924-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:23:53.28616-04","2025-08-18 14:23:53.28616-04",462
76,"190825300429","2025-08-14 09:17:04.805-04","failure_cause","Failure - Mixed Connectors","User","2025-08-20 09:56:53.288232-04","2025-08-20 09:56:53.288232-04",2692
77,"190825300704","2025-08-24 04:23:56.538-04","failure_cause","anti islanding","User","2025-09-02 10:49:30.706113-04","2025-09-02 10:49:30.706113-04",3113
78,"190825300757","2025-08-24 04:23:56.538-04","failure_cause","anti islanding","User","2025-09-02 10:49:36.335786-04","2025-09-02 10:49:36.335786-04",3175
79,"190825300651","2025-08-25 09:09:48.414-04","failure_cause","Channel Short AA","User","2025-09-02 10:50:59.452578-04","2025-09-02 10:50:59.452578-04",3325
80,"190825300640","2025-08-27 07:18:40.487-04","failure_cause","Channel Short AA","User","2025-09-02 11:23:34.160147-04","2025-09-02 11:23:34.160147-04",3421
81,"190825300446","2025-08-27 07:18:37.559-04","failure_cause","Channel Undervoltage AA","User","2025-09-02 11:58:16.323862-04","2025-09-02 11:58:16.323862-04",3370
82,"190825300520","2025-08-27 07:18:40.487-04","failure_cause","GFDI Fault","User","2025-09-02 11:58:25.154452-04","2025-09-02 11:58:25.154452-04",3393
83,"190825300520","2025-08-29 06:49:01.824-04","failure_cause","GFDI Fault","User","2025-09-02 12:03:18.440199-04","2025-09-02 12:03:18.440199-04",3394
84,"190825300446","2025-08-30 09:49:53.673-04","failure_cause","Channel Undervoltage BA","User","2025-09-02 13:38:26.379225-04","2025-09-02 13:38:26.379225-04",3527
86,"190825341003","2025-09-02 09:49:55.911-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-09-05 13:37:36.58285-04","2025-09-05 13:37:36.58285-04",3821
87,"190825340629","2025-09-02 09:49:55.911-04","failure_cause","Setup - AC","User","2025-09-05 13:37:55.111597-04","2025-09-05 13:37:55.111597-04",3794
88,"190825340714","2025-09-02 09:49:55.911-04","failure_cause","Setup - AC","User","2025-09-05 13:38:05.774813-04","2025-09-05 13:38:05.774813-04",3719
89,"190825340859","2025-09-02 09:49:55.911-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-09-05 13:38:19.925446-04","2025-09-05 13:38:19.925446-04",3813
90,"190825340848","2025-09-02 09:49:55.911-04","failure_cause","Setup - AC","User","2025-09-05 13:38:32.168635-04","2025-09-05 13:38:32.168635-04",3812
91,"190825340740","2025-09-02 09:49:55.911-04","failure_cause","unknown","User","2025-09-05 13:38:56.557832-04","2025-09-05 13:38:56.557832-04",3725
93,"190825340997","2025-09-02 09:49:44.928-04","failure_cause","device timeout","User","2025-09-05 13:39:18.964507-04","2025-09-05 13:39:18.964507-04",3644
94,"190825340951","2025-09-04 05:54:36.912-04","failure_cause","Channel Short BA","User","2025-09-05 14:40:06.094152-04","2025-09-05 14:40:06.094152-04",3772
95,"190825340926","2025-09-04 05:54:36.912-04","failure_cause","Channel Short BA","User","2025-09-05 14:41:30.571536-04","2025-09-05 14:41:30.571536-04",3769
96,"190825260631","2025-09-04 00:21:13.269-04","failure_cause","Setup - AC","User","2025-09-05 14:42:04.045603-04","2025-09-05 14:42:04.045603-04",3662
97,"190825340999","2025-09-04 00:21:13.269-04","failure_cause","Setup - AC","User","2025-09-05 14:42:29.144527-04","2025-09-05 14:42:29.144527-04",3784
98,"190825340917","2025-09-04 00:21:13.269-04","failure_cause","Setup - AC","User","2025-09-05 14:42:58.443953-04","2025-09-05 14:42:58.443953-04",3767
99,"190825340762","2025-09-04 00:21:13.269-04","failure_cause","Setup - AC","User","2025-09-05 14:43:39.313904-04","2025-09-05 14:43:39.313904-04",3731
100,"190825340702","2025-09-04 00:21:13.269-04","failure_cause","Setup - AC","User","2025-09-05 14:44:26.930616-04","2025-09-05 14:44:26.930616-04",3713
101,"190825340588","2025-09-05 05:46:16.746-04","failure_cause","Setup - AC","User","2025-09-10 09:35:31.927693-04","2025-09-10 09:35:31.927693-04",3898
102,"190825350168","2025-09-05 05:46:16.746-04","failure_cause","Setup - AC","User","2025-09-10 09:35:39.095309-04","2025-09-10 09:35:39.095309-04",4041
103,"190825340545","2025-09-05 05:46:16.746-04","failure_cause","Setup - AC","User","2025-09-10 09:35:44.733397-04","2025-09-10 09:35:49.799515-04",3885
105,"190825350066","2025-09-05 05:46:16.746-04","failure_cause","Setup - AC","User","2025-09-10 09:35:55.03988-04","2025-09-10 09:35:55.03988-04",4014
106,"190825340729","2025-09-05 05:46:16.746-04","failure_cause","Setup - AC","User","2025-09-10 09:36:00.060319-04","2025-09-10 09:36:00.060319-04",3932
107,"190825340834","2025-09-06 06:50:46.172-04","failure_cause","device timeout","User","2025-09-10 09:36:11.055251-04","2025-09-10 09:36:11.055251-04",3957
108,"190825340890","2025-09-06 06:50:46.172-04","failure_cause","device timeout","User","2025-09-10 09:36:18.75354-04","2025-09-10 09:36:18.75354-04",3968
109,"190825340535","2025-09-06 06:50:46.172-04","failure_cause","device timeout","User","2025-09-10 09:36:24.78793-04","2025-09-10 09:36:24.78793-04",3882
110,"190825340734","2025-09-06 06:50:46.172-04","failure_cause","Channel Short AA","User","2025-09-10 09:37:04.276067-04","2025-09-10 09:37:04.276067-04",4079
111,"190825300253","2025-08-29 03:43:14.702-04","failure_cause","Setup - Grid","User","2025-09-10 09:43:37.29986-04","2025-09-10 09:43:37.29986-04",3335
113,"190825300513","2025-09-06 06:50:46.172-04","failure_cause","unknown","User","2025-09-10 09:45:07.925492-04","2025-09-10 09:45:07.925492-04",3867
114,"190825340555","2025-09-06 06:50:46.172-04","failure_cause","device timeout","User","2025-09-10 09:45:16.792327-04","2025-09-10 09:45:16.792327-04",3890
115,"190825350002","2025-09-07 10:05:58.181-04","failure_cause","Channel Short AA","User","2025-09-10 09:46:27.010675-04","2025-09-10 09:46:27.010675-04",4093
116,"190825350119","2025-09-07 10:05:58.181-04","failure_cause","Channel Short BA","User","2025-09-10 09:47:10.093233-04","2025-09-10 09:47:10.093233-04",4115
117,"190825340985","2025-09-07 10:05:58.181-04","failure_cause","anti islanding","User","2025-09-10 10:03:25.999427-04","2025-09-10 10:03:25.999427-04",4091
118,"190825350125","2025-09-07 09:39:45.616-04","failure_cause","Channel Short AA","User","2025-09-10 10:05:05.345548-04","2025-09-10 10:05:05.345548-04",4033
119,"190825350051","2025-09-07 09:39:45.616-04","failure_cause","Setup - Grid","User","2025-09-10 10:05:56.622974-04","2025-09-10 10:05:56.622974-04",4006
120,"190825340773","2025-09-07 09:39:45.616-04","failure_cause","Setup - AC","User","2025-09-10 10:06:10.043249-04","2025-09-10 10:06:10.043249-04",3944
121,"190825340923","2025-09-07 09:39:45.616-04","failure_cause","Channel Short AA","User","2025-09-10 10:07:05.504555-04","2025-09-10 10:07:05.504555-04",3978
122,"190825260144","2025-09-07 09:39:45.616-04","failure_cause","Setup - AC","User","2025-09-10 10:08:13.959365-04","2025-09-10 10:08:13.959365-04",4068
123,"190825350482","2025-09-07 09:39:45.616-04","failure_cause","Setup - AC","User","2025-09-10 10:11:56.277874-04","2025-09-10 10:11:56.277874-04",4061
124,"190825350234","2025-09-07 09:39:45.616-04","failure_cause","Setup - AC","User","2025-09-10 10:12:09.728534-04","2025-09-10 10:12:09.728534-04",4055
125,"190825350191","2025-09-07 09:39:45.616-04","failure_cause","Setup - AC","User","2025-09-10 10:12:18.080197-04","2025-09-10 10:12:18.080197-04",4045
126,"190825340559","2025-08-29 03:43:14.702-04","failure_cause","device timeout","User","2025-09-10 10:13:16.330381-04","2025-09-10 10:13:16.330381-04",3455
127,"190825340559","2025-08-30 09:49:53.673-04","failure_cause","Setup - Grid","User","2025-09-10 10:13:25.481652-04","2025-09-10 10:13:25.481652-04",3536
128,"190825300557","2025-08-29 03:43:14.702-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-09-10 10:13:50.073147-04","2025-09-10 10:13:50.073147-04",3403
129,"190825300556","2025-08-29 03:43:14.702-04","failure_cause","Setup - Grid","User","2025-09-10 10:14:01.472417-04","2025-09-10 10:14:01.472417-04",3402
130,"190825300334","2025-08-29 03:43:14.702-04","failure_cause","Setup - Grid","User","2025-09-10 10:14:15.748566-04","2025-09-10 10:14:15.748566-04",3349
131,"190825340947","2025-08-29 03:43:14.702-04","failure_cause","Setup - Grid","User","2025-09-10 10:14:50.183415-04","2025-09-10 10:14:50.183415-04",3497
132,"190825300334","2025-08-30 09:49:53.673-04","failure_cause","Setup - Grid","User","2025-09-10 10:16:20.245971-04","2025-09-10 10:16:20.245971-04",3506
133,"190825300738","2025-08-30 09:49:53.673-04","failure_cause","Setup - Grid","User","2025-09-10 10:18:19.586491-04","2025-09-10 10:18:19.586491-04",3510
134,"190825340947","2025-08-30 09:49:53.673-04","failure_cause","Setup - Grid","User","2025-09-10 10:19:00.560945-04","2025-09-10 10:19:00.560945-04",3549
135,"190825350604","2025-09-11 00:47:27.608-04","failure_cause","Channel Short BA","User","2025-09-12 09:51:15.29916-04","2025-09-12 09:51:15.29916-04",4337
136,"190825350551","2025-09-11 00:47:17.887-04","failure_cause","Setup - AC","User","2025-09-12 09:59:21.658775-04","2025-09-12 09:59:21.658775-04",4327
137,"190825350135","2025-09-11 00:47:27.608-04","failure_cause","Channel Short BA","User","2025-09-12 09:59:51.612311-04","2025-09-12 09:59:51.612311-04",4289
138,"190825350545","2025-09-11 00:47:17.887-04","failure_cause","Setup - Grid","User","2025-09-12 10:00:30.200949-04","2025-09-12 10:00:30.200949-04",4324
139,"190825340930","2025-09-09 01:05:31.991-04","failure_cause","Channel Short AA","User","2025-09-12 13:14:48.717895-04","2025-09-12 13:14:48.717895-04",4179
140,"190825300513","2025-09-09 01:05:31.991-04","failure_cause","unknown","User","2025-09-12 13:16:13.203173-04","2025-09-12 13:16:13.203173-04",4141
141,"190825340930","2025-09-12 07:52:21.165-04","failure_cause","Channel Short BA","User","2025-09-22 09:50:23.986251-04","2025-09-22 09:50:23.986251-04",4390
142,"190825350390","2025-09-12 07:52:21.165-04","failure_cause","anti islanding","User","2025-09-22 09:50:59.215323-04","2025-09-22 09:50:59.215323-04",4513
143,"190825350598","2025-09-12 07:52:21.165-04","failure_cause","Setup - Grid","User","2025-09-22 09:52:02.253415-04","2025-09-22 09:52:02.253415-04",4609
144,"190825340939","2025-09-12 07:52:30.413-04","failure_cause","Channel Short AA","User","2025-09-22 09:53:01.173888-04","2025-09-22 09:53:01.173888-04",4391
145,"190825350656","2025-09-17 16:55:28.43-04","failure_cause","Setup - DC","User","2025-09-22 09:55:14.032741-04","2025-09-22 09:55:14.032741-04",4632
146,"190825350345","2025-09-17 16:55:28.43-04","failure_cause","unknown","User","2025-09-22 09:56:36.127198-04","2025-09-22 09:56:36.127198-04",4489
147,"190825350305","2025-09-17 16:55:28.43-04","failure_cause","Setup - DC","User","2025-09-22 09:57:13.475555-04","2025-09-22 09:57:13.475555-04",4466
148,"190825300341","2025-09-17 16:55:28.43-04","failure_cause","Setup - AC","User","2025-09-22 09:57:42.205366-04","2025-09-22 09:57:42.205366-04",4381
149,"190825260165","2025-09-17 16:55:28.43-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-09-22 09:58:08.737437-04","2025-09-22 09:58:08.737437-04",4377
150,"190825350136","2025-09-18 19:51:58.919-04","failure_cause","Setup - DC","User","2025-09-22 10:00:10.550321-04","2025-09-22 10:01:08.919534-04",4731
158,"190825370174","2025-09-18 19:51:58.919-04","failure_cause","Setup - AC","User","2025-09-22 10:02:07.955343-04","2025-09-22 10:02:07.955343-04",4825
159,"190825370067","2025-09-18 19:51:58.919-04","failure_cause","Setup - DC","User","2025-09-22 10:02:58.904081-04","2025-09-22 10:02:58.904081-04",4812
160,"190825350622","2025-09-20 02:09:29.283-04","failure_cause","GFDI Fault","User","2025-09-22 10:03:59.691801-04","2025-09-22 10:03:59.691801-04",4616
161,"190825350178","2025-09-20 02:09:29.283-04","failure_cause","unknown","User","2025-09-22 10:05:08.430596-04","2025-09-22 10:05:08.430596-04",4427
162,"190825350498","2025-09-20 02:09:19.762-04","failure_cause","Setup - DC","User","2025-09-22 10:05:41.186633-04","2025-09-22 10:05:41.186633-04",4566
163,"190825350097","2025-09-20 02:09:19.762-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-09-22 10:06:47.238807-04","2025-09-22 10:06:47.238807-04",4409
164,"190825350004","2025-09-20 02:09:19.762-04","failure_cause","Failure - Mixed Connectors","User","2025-09-22 10:07:40.187706-04","2025-09-22 10:07:40.187706-04",4394
166,"190825370431","2025-09-21 18:09:09.717-04","failure_cause","Setup - DC","User","2025-09-23 09:26:58.895913-04","2025-09-23 09:26:58.895913-04",4927
167,"190825370309","2025-09-21 18:09:09.717-04","failure_cause","Setup - DC","User","2025-09-23 09:27:16.380959-04","2025-09-23 09:27:16.380959-04",4918
168,"190825370080","2025-09-24 01:52:47.579-04","failure_cause","Setup - Grid","User","2025-09-25 10:50:04.747744-04","2025-09-25 10:50:04.747744-04",4989
169,"190825370328","2025-09-24 01:52:38.324-04","failure_cause","Setup - AC","User","2025-09-30 09:49:39.984555-04","2025-09-30 09:50:02.965831-04",5054
